0.4894409,0.4993896
0.9240723,0.4851074
0.8661499,0.505249
0.8564453,0.4976196
0.8754272,0.4833984
0.8673706,0.5093384
0.9424438,0.4921265
0.8553467,0.505188
0.9428101,0.5158081
0.9185181,0.4920044
0.9362183,0.5170288
0.6398315,0.5076294
0.9088745,0.5220947
0.8953857,0.5039062
0.5198975,0.1237183
0.930481,0.4973145
0.9492798,0.5004883
0.8469238,0.4164429
0.7932739,0.3219604
0.8832397,0.4866333
0.8450317,0.4956665
0.8391113,0.4761963
0.4680176,0.4993896
0.927002,0.5097046
0.9013672,0.5204468
0.6188965,0.4962158
0.9329224,0.5005493
0.6851807,0.1947021
0.9256592,0.4764404
0.9215088,0.5223999
0.8505859,0.4991455
0.842041,0.4815063
0.9216919,0.4976807
0.9376831,0.4935913
0.8995361,0.4744873
0.9428711,0.4794922
0.8369141,0.4991455
0.9072266,0.4807129
0.8518677,0.479187
0.9380493,0.4500122
0.8804932,0.5140991
0.7527466,0.2179565
0.883728,0.5206299
0.5419922,0.5287476
0.7941284,0.4979858
0.855957,0.4753418
0.9171143,0.5064087
0.5950928,0.498291
0.9293213,0.5029297
0.940918,0.4963989
0.7196655,0.2698364
0.8184204,0.3954468
0.8436279,0.4998779
0.906311,0.5200806
0.8807983,0.4661255
0.479187,0.4957275
0.9282837,0.4736328
0.6686401,0.4979248
0.9397583,0.5199585
0.932312,0.507019
0.741333,0.5005493
0.8782349,0.472168
0.8624878,0.479187
0.9175415,0.5059814
0.8127441,0.4994507
0.7124634,0.2115479
0.6484375,0.5018921
0.9219971,0.494873
0.621582,0.4991455
0.5787964,0.4968262
0.6196899,0.4985352
0.4776001,0.4975586
0.9613037,0.50354
0.8627319,0.4864502
0.8843994,0.4979248
0.7037964,0.4990234
0.9440308,0.5148315
0.9293823,0.5007935
0.9050903,0.5010986
0.93927,0.4976807
0.5864258,0.5003662
0.7906494,0.3312378
0.9209595,0.50177
0.9450684,0.5001831
0.8900757,0.4793091
0.9401855,0.4811401
0.8811035,0.4932251
0.8388062,0.4744263
0.619812,0.4989624
0.8963623,0.4980469
0.8548584,0.4787598
0.8892212,0.5018921
0.8482666,0.4588623
0.6878052,0.4986572
0.8791504,0.4905396
0.8753662,0.4972534
0.8312988,0.4777222
0.9335327,0.4973145
0.8761597,0.4735718
0.8695679,0.4549561
0.9388428,0.4813843
0.7017822,0.4986572
0.87677,0.4790649
0.878479,0.4666748
0.9370728,0.5107422
0.9192505,0.4909058
0.800293,0.2949219
0.6478882,0.4991455
0.9407959,0.5090332
0.9495239,0.4699707
0.8922729,0.5010376
0.8695068,0.4986572
0.8900146,0.4165039
0.7062378,0.2359619
0.9285278,0.5101318
0.8669434,0.496521
0.8978271,0.4771118
0.9397583,0.4788208
0.9238892,0.5129395
0.8847656,0.5001831
0.8656006,0.4960327
0.8626709,0.4957275
0.477417,0.5029297
0.9345093,0.4754028
0.8341064,0.486084
0.8675537,0.4776001
0.8331909,0.414978
0.8775635,0.4969482
0.5741577,0.4971924
0.9276123,0.4866333
0.835144,0.480835
0.8304443,0.4838867
0.9404297,0.501709
0.8937988,0.494751
0.8812256,0.5203247
0.9224854,0.5220947
0.5248413,0.4976807
0.6050415,0.5130615
0.7577515,0.4970703
0.8659058,0.4793701
0.8309326,0.4752808
0.6182251,0.4979858
0.8721924,0.4750977
0.723877,0.5133057
0.895874,0.477417
0.8965454,0.4744873
0.8710327,0.4716797
0.9007568,0.5202637
0.9098511,0.4992676
0.9382935,0.5184937
0.8525391,0.4822998
0.6668701,0.4974365
0.8600464,0.4088745
0.7528076,0.500061
0.8474731,0.4748535
0.9152222,0.517334
0.9084473,0.5209351
0.9135742,0.5231323
0.8504639,0.5007324
0.8552856,0.4042969
0.9126587,0.4943848
0.8544312,0.4771729
0.8722534,0.4539185
0.8683472,0.437439
0.8745728,0.4751587
0.5449829,0.4975586
0.8635254,0.4562378
0.8551636,0.3977051
0.8302612,0.4846191
0.9503784,0.5013428
0.9030762,0.484314
0.9454956,0.5099487
0.8772583,0.4714355
0.9269409,0.4985962
0.8818359,0.4957275
0.8405762,0.4730225
0.9321289,0.5649414
0.911377,0.5183105
0.9401855,0.505249
0.7843018,0.4990845
0.9135742,0.477356
0.9237061,0.4866333
0.8519897,0.4449463
0.8409424,0.4840088
0.9428711,0.5197144
0.899353,0.4873047
0.923645,0.494873
0.8995972,0.4896851
0.9123535,0.4985962
0.5479126,0.4859619
0.9384155,0.4821167
0.9500122,0.5018921
0.8847656,0.493103
0.8657227,0.472168
0.9130859,0.5203247
0.8966675,0.4990845
0.7545776,0.8555908
0.8396606,0.4088745
0.9291382,0.5194702
0.8795776,0.5150146
0.8740234,0.491394
0.8613281,0.5022583
0.9411621,0.5112915
0.9065552,0.5205078
0.9378662,0.4871216
0.8432617,0.4993896
0.935791,0.5078125
0.8733521,0.4345093
0.921875,0.479126
0.8588257,0.4979858
0.8622437,0.494873
0.8613281,0.4998169
0.8995972,0.5114136
0.5358887,0.49823
0.8746948,0.4769287
0.7195435,0.4989624
0.8625488,0.4679565
0.9337158,0.4984741
0.9224854,0.519165
0.8074951,0.3693848
0.8743896,0.4805908
0.8805542,0.4859009
0.8304443,0.4889526
0.9185181,0.5167236
0.9155273,0.5222778
0.9630127,0.5083008
0.8662109,0.4721069
0.9351196,0.5197144
0.8682861,0.4640503
0.5891113,0.4992065
0.9459839,0.4998779
0.8790283,0.4989014
0.8890991,0.4744263
0.8145142,0.3442993
0.8259888,0.447998
0.9472046,0.506897
0.8669434,0.5046387
0.7783203,0.3219604
0.9510498,0.4915161
0.9345703,0.5021973
0.8395996,0.4628296
0.8623047,0.4849854
0.9264526,0.493042
0.8421631,0.4750977
0.8480835,0.5009766
0.947876,0.5037842
0.8179932,0.3979492
0.7999878,0.333374
0.7929688,0.4987183
0.9240112,0.4879761
0.9440918,0.4807739
0.7655029,0.4971313
0.8643799,0.493103
0.8917236,0.5114136
0.9416504,0.4998779
0.8361206,0.4502563
0.8924561,0.5217896
0.9243164,0.5230103
0.9307251,0.4859619
0.8742065,0.4829102
0.9041138,0.5246582
0.8814087,0.4985352
0.9306641,0.4856567
0.9141846,0.4725342
0.7985229,0.4989624
0.8202515,0.4168091
0.6732788,0.4978638
0.8691406,0.3215332
0.9125977,0.4835205
0.9385376,0.4890137
0.8753052,0.4754028
0.9004517,0.4957886
0.8659668,0.4951172
0.8781128,0.4771118
0.9173584,0.5135498
0.9246826,0.5189209
0.8980103,0.4810181
