u,r2,mse,rmse
u0,0.995004537761073,6.096852276284879e-05,0.007808234292261522
u1,0.979260178695943,7.165391454175664e-05,0.00846486352765103
Average,0.987132358228508,6.631121865230272e-05,0.008136548909956276
