u,r2,mse,rmse
u0,0.9999925118367405,1.6309381098835787e-07,0.00040384874766223784
u1,0.9999971188490305,2.0957831997154472e-07,0.0004577972476670701
Average,0.9999948153428855,1.863360654799513e-07,0.000430822997664654
