u,r2,mse,rmse,max_error
u0,0.9999707187579315,6.363430839401033e-07,0.0007977111532002692,0.029003209585645173
u1,0.9999763450446818,1.7212024029401049e-06,0.0013119460365960578,0.061035123114582035
Average,0.9999735319013067,1.178772743440104e-06,0.0010548285948981636,0.045019166350113604
