u,r2,mse,rmse,max_error
u0,0.9999953495172116,1.0106478927624505e-07,0.00031790688774583834,0.020006222525889683
u1,0.9999977940960045,1.605079023191448e-07,0.00040063437485960286,0.014375721207976255
Average,0.9999965718066081,1.3078634579769492e-07,0.00035927063130272057,0.01719097186693297
