u,r2,mse,rmse,max_error
u0,0.9999945239005089,1.1900717975049682e-07,0.00034497417258469773,0.022539181510264683
u1,0.9999926076139661,5.378912128049785e-07,0.0007334106713192674,0.012954634317441815
Average,0.9999935657572375,3.2844919627773766e-07,0.0005391924219519825,0.01774690791385325
