u,r2,mse,rmse
u0,0.9949133957834104,6.208089064273605e-05,0.007879142760652078
u1,0.9777493375493933,7.687371276537295e-05,0.008767765551460244
Average,0.9863313666664019,6.94773017040545e-05,0.008323454156056162
