u,r2,mse,rmse
u0,0.9999831377235442,3.6726401840194073e-07,0.0006060231170524279
u1,0.9999902284734309,7.107923686246502e-07,0.0008430850304830766
Average,0.9999866830984876,5.390281935132954e-07,0.0007245540737677522
