descriptions,General,User,Fourier
,General,DateTime,14-08-2025 19:32:02
,General,Origin,"Software revision: mpc_redes_obs_fis.sdf, mpc_redes_obs_fis.rta\nVariable description: mpc_redes_obs_fis.sdf\n    Platform / Device: Platform [DS1202 MicroLabBox, assigned to 'ds1202']\nControlDesk version: 7.5"
,General,Description,
,Recording,StartCondition,None (Save Measurement Buffer)
,Recording,StopCondition,None
,Measurement,XAxisOffset,0
,Measurement,Length,45.00133021
,Measurement,StartTimestamp,40.3231436
,Measurement,StopTimestamp,85.32447381
,MDF,Department,
,MDF,Project,
,MDF,MeasurementObject,

trace_size,45001
trace_types,4,4,4,4,4,4,4,4
trace_names,,In1,In1,In1,turnaroundTime,In1,In1,In1
trace_units,,,,,,,,
devices,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform
raster,HostService,HostService,HostService,HostService,HostService,HostService,HostService,HostService
description,,,,,,,,
displayidentifier,,,,,,,,
path,,Model Root/pos_est,Model Root/vel_est,Model Root/u_act,Task Info/Timer Task 1,Model Root/ref rad,Model Root/pos,Model Root/pert
flags,,0,0,0,0,0,0,0
min,,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
max,,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
minWeak,,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
maxWeak,,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
trace_values,0,0.170166015625,-0.0008544921875,-0.20953369140625,5.9200000000000001e-06,0.17453292519943295,0.17027186745530618,0.20343017578125
,0.00099935175170884349,0.170166015625,-0.0008544921875,-0.20953369140625,7.4000000000000003e-06,0.17453292519943295,0.17027186745530618,0.20343017578125
,0.0019992635192807029,0.170166015625,-0.0008544921875,-0.20953369140625,6.4400000000000002e-06,0.17453292519943295,0.17027186745530618,0.20343017578125
,0.0030000553100535399,0.17022705078125,-0.00140380859375,-0.2109375,6.3600000000000001e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.0039993670593219122,0.17022705078125,-0.00140380859375,-0.2109375,6.4400000000000002e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.0049995588378877187,0.17022705078125,-0.00140380859375,-0.2109375,6.3999999999999997e-06,0.17453292519943295,0.17027186745530618,0.204833984375
,0.0059995506042440638,0.17022705078125,-0.00140380859375,-0.2109375,6.4799999999999998e-06,0.17453292519943295,0.17027186745530618,0.204833984375
