descriptions,General,User,Fourier
,General,DateTime,07-08-2025 13:12:09
,General,Origin,"Software revision: mpc_imp_obs.sdf, mpc_imp_obs.rta\nVariable description: mpc_imp_obs.sdf\n    Platform / Device: Platform [DS1202 MicroLabBox, assigned to 'ds1202']\nControlDesk version: 7.5"
,General,Description,
,Recording,StartCondition,None (Save Measurement Buffer)
,Recording,StopCondition,None
,Measurement,XAxisOffset,0
,Measurement,Length,45.00218913
,Measurement,StartTimestamp,29.32978384
,Measurement,StopTimestamp,74.33197298
,MDF,Department,
,MDF,Project,
,MDF,MeasurementObject,

trace_size,45002
trace_types,4,4,4,4,4,4,4,4,4,4
trace_names,,turnaroundTime,In1,In1,In1,In1,In1,In1,In1,In1
trace_units,,,,,,,,,,
devices,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform
raster,HostService,HostService,HostService,HostService,HostService,HostService,HostService,HostService,HostService,HostService
description,,,,,,,,,,
displayidentifier,,,,,,,,,,
path,,Task Info/Timer Task 1,Model Root/vel,Model Root/u(t),Model Root/ref rad,Model Root/pos,Model Root/pert,Model Root/min_period,Model Root/est_vel,Model Root/est_pos
flags,,0,0,0,0,0,0,0,0,0
min,,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
max,,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
minWeak,,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
maxWeak,,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
trace_values,0,3.8800000000000001e-06,-0.011815461089286876,0,0.17453292519943295,0.17474809145915829,0.24322509765625,1777,-0.00823974609375,0.17462158203125
,0.0010000678459185508,5.2000000000000002e-06,-0.011479361095397444,0,0.17453292519943295,0.17473644485632481,0.24322509765625,1777,-0.00823974609375,0.17462158203125
,0.0019994556724576285,4.3599999999999998e-06,-0.011152821727626522,0,0.17453292519943295,0.1747251295501806,0.24322509765625,1777,-0.00823974609375,0.17462158203125
,0.0030000035316497531,4.3200000000000001e-06,-0.010835571026517284,0,0.17453292519943295,0.17471413611673328,0.24322509765625,1777,-0.00823974609375,0.17462158203125
,0.0040001913803102696,4.2000000000000004e-06,-0.010527344768711481,0,0.17453292519943295,0.1747034554000633,0.24322509765625,1777,-0.00823974609375,0.17462158203125
,0.0050000992210392781,4.3200000000000001e-06,-0.010227886246890102,0,0.17453292519943295,0.17469307850469831,0.24322509765625,1777,-0.00823974609375,0.17462158203125
,0.0060000870643612814,4.2400000000000001e-06,-0.0099369460559737745,0,0.17453292519943295,0.17468299678820468,0.24322509765625,1777,-0.00823974609375,0.17462158203125
,0.007000274913789184,4.2400000000000001e-06,-0.0096542818854048734,0,0.17453292519943295,0.17467320185398949,0.24322509765625,1777,-0.00823974609375,0.17462158203125
,0.007999702741241066,4.3200000000000001e-06,-0.0093796583173383248,0,0.17453292519943295,0.17466368554430745,0.24322509765625,1777,-0.00823974609375,0.17462158203125
,0.0090004106048588994,4.3200000000000001e-06,-0.0091128466305730287,0,0.17453292519943295,0.17465443993346666,0.24322509765625,1777,-0.00823974609375,0.17462158203125
,0.0099997184288049823,4.3599999999999998e-06,-0.0088536246100606002,0,0.17453292519943295,0.17464545732122777,0.24322509765625,1777,-0.00823974609375,0.17462158203125
,0.01100022628708075,4.3200000000000001e-06,-0.0086017763618327948,0,0.17453292519943295,0.17463673022639067,0.24322509765625,1777,-0.0057373046875,0.174560546875
,0.012000334133912105,4.2000000000000004e-06,-0.008357092133193458,0,0.17453292519943295,0.17462825138056387,0.24322509765625,1777,-0.0057373046875,0.174560546875
,0.013000321977234108,4.3200000000000001e-06,-0.0081193681380252545,0,0.17453292519943295,0.17462001372211089,0.24322509765625,1777,-0.0057373046875,0.174560546875
,0.014000509825898177,4.2400000000000001e-06,-0.0078884063870656874,0,0.17453292519943295,0.174612010390269,0.24322509765625,1777,-0.0057373046875,0.174560546875
,0.015000577671052895,4.3599999999999998e-06,-0.0076640145230110488,0,0.17453292519943295,0.17460423471943523,0.24322509765625,1777,-0.0057373046875,0.174560546875
,0.015999845494842901,4.3200000000000001e-06,-0.0074460056603109651,0,0.17453292519943295,0.17459668023361491,0.24322509765625,1777,-0.0057373046875,0.174560546875
,0.01699975333557191,4.2799999999999997e-06,-0.0072341982295201085,0,0.17453292519943295,0.17458934064102802,0.24322509765625,1777,-0.0057373046875,0.174560546875
,0.01799998118591617,4.16e-06,-0.0070284158260774518,0,0.17453292519943295,0.17458220982886916,0.24322509765625,1777,-0.0057373046875,0.174560546875
,0.019000569046021099,4.3599999999999998e-06,-0.0068284870633871092,0,0.17453292519943295,0.17457528185821644,0.24322509765625,1777,-0.0057373046875,0.174560546875
,0.019999996873476533,4.2799999999999997e-06,-0.0066342454300784099,0,0.17453292519943295,0.17456855095908522,0.24322509765625,1777,-0.0057373046875,0.174560546875
,0.020999784711456471,4.2799999999999997e-06,-0.0064455291513263197,0,0.17453292519943295,0.17456201152562256,0.24322509765625,1777,-0.0057373046875,0.174560546875
,0.021999812555694831,4.1200000000000004e-06,-0.0062621810541167106,0,0.17453292519943295,0.17455565811143839,0.24322509765625,1777,-0.0057373046875,0.174560546875
,0.02300072042465473,4.16e-06,-0.0060840484363442653,0,0.17453292519943295,0.17454948542506943,0.2418212890625,1777,-0.00604248046875,0.1744384765625
,0.023999948246768099,4.4000000000000002e-06,-0.0059109829396339943,0,0.17453292519943295,0.17454348832557223,0.2418212890625,1777,-0.00604248046875,0.1744384765625
,0.024999936090090102,4.2000000000000004e-06,-0.0057428404257804429,0,0.17453292519943295,0.17453766181824143,0.2418212890625,1777,-0.00604248046875,0.1744384765625
,0.026000203941347166,4.1200000000000004e-06,-0.0055794808567016805,0,0.17453292519943295,0.17453200105045,0.2418212890625,1777,-0.00604248046875,0.1744384765625
,0.027000711798859101,4.3599999999999998e-06,-0.0054207681778080958,0,0.17453292519943295,0.17452650130760763,0.2418212890625,1777,-0.00604248046875,0.1744384765625
,0.028000139627074816,4.2400000000000001e-06,-0.0052665702046888526,0,0.17453292519943295,0.17452115800923423,0.2418212890625,1777,-0.00604248046875,0.1744384765625
,0.02900024747314589,4.3200000000000001e-06,-0.0051167585130216407,0,0.17453292519943295,0.17451596670514502,0.2418212890625,1777,-0.00604248046875,0.1744384765625
,0.030000195315551537,4.2799999999999997e-06,-0.00497120833161403,0,0.17453292519943295,0.17451092307174421,0.2418212890625,1777,-0.00604248046875,0.1744384765625
,0.031000823176576375,4.2799999999999997e-06,-0.0048297984384873451,0,0.17453292519943295,0.17450602290842401,0.2418212890625,1777,-0.00604248046875,0.1744384765625
,0.032001011026000725,4.2400000000000001e-06,-0.0046924110599165141,0,0.17453292519943295,0.17450126213406628,0.2418212890625,1777,-0.00604248046875,0.1744384765625
,0.033000918866729734,4.3599999999999998e-06,-0.0045589317723418107,0,0.17453292519943295,0.17449663678364336,0.2418212890625,1777,-0.00604248046875,0.1744384765625
,0.034000386695861806,4.3200000000000001e-06,-0.0044292494070707917,0,0.17453292519943295,0.17449214300491594,0.2418212890625,1777,-0.00604248046875,0.1744384765625
,0.035001014556886645,4.3200000000000001e-06,-0.0043032559576910599,0,0.17453292519943295,0.1744877770552247,0.2418212890625,1777,-0.00408935546875,0.17437744140625
,0.036001082402041362,4.2000000000000004e-06,-0.004180846490116746,0,0.17453292519943295,0.17448353529837313,0.2418212890625,1777,-0.00408935546875,0.17437744140625
,0.037000390226747726,4.3599999999999998e-06,-0.0040619190551937894,0,0.17453292519943295,0.17447941420159915,0.2418212890625,1777,-0.00408935546875,0.17437744140625
,0.038000258066560377,4.3200000000000001e-06,-0.0039463746037912252,0,0.17453292519943295,0.17447541033263289,0.2418212890625,1777,-0.00408935546875,0.17437744140625
,0.039001165935516724,4.16e-06,-0.0038341169043077687,0,0.17453292519943295,0.17447152035683802,0.2418212890625,1777,-0.00408935546875,0.17437744140625
