descriptions,General,User,Fourier
,General,DateTime,07-08-2025 14:10:47
,General,Origin,"Software revision: mpc_imp_obs_fis.sdf, mpc_imp_obs_fis.rta\nVariable description: mpc_imp_obs_fis.sdf\n    Platform / Device: Platform [DS1202 MicroLabBox, assigned to 'ds1202']\nControlDesk version: 7.5"
,General,Description,
,Recording,StartCondition,None (Save Measurement Buffer)
,Recording,StopCondition,None
,Measurement,XAxisOffset,0
,Measurement,Length,45.00218082
,Measurement,StartTimestamp,75.51303748
,Measurement,StopTimestamp,120.5152183
,MDF,Department,
,MDF,Project,
,MDF,MeasurementObject,

trace_size,45002
trace_types,4,4,4,4,4,4,4
trace_names,,turnaroundTime,In1,In1,In1,In1,In1
trace_units,,,,,,,
devices,Platform,Platform,Platform,Platform,Platform,Platform,Platform
raster,HostService,HostService,HostService,HostService,HostService,HostService,HostService
description,,,,,,,
displayidentifier,,,,,,,
path,,Task Info/Timer Task 1,Model Root/vel_est,Model Root/u_act,Model Root/pos_est,Model Root/pos,Model Root/pert
flags,,0,0,0,0,0,0
min,,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
max,,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
minWeak,,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
maxWeak,,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
trace_values,0,6.0000000000000002e-06,-0.0186767578125,-0.2301025390625,0.20367431640625,0.20248546400090464,0.204833984375
,0.00099914640959752887,7.2400000000000001e-06,-0.0186767578125,-0.2301025390625,0.20367431640625,0.20248546400090464,0.204833984375
,0.0019991328414903364,6.5200000000000003e-06,-0.0186767578125,-0.2301025390625,0.20367431640625,0.20248546400090464,0.204833984375
,0.0029991992752087526,6.5200000000000003e-06,-0.0186767578125,-0.2301025390625,0.20367431640625,0.20248546400090464,0.204833984375
,0.0039993457107527774,6.4799999999999998e-06,-0.0186767578125,-0.2301025390625,0.20367431640625,0.20248546400090464,0.204833984375
,0.0050000921630868334,6.5599999999999999e-06,-0.06451416015625,-0.19940185546875,0.20196533203125,0.20248546400090464,0.177001953125
