descriptions,General,User,Fourier
,General,DateTime,07-08-2025 10:11:58
,General,Origin,"Software revision: mpc_imp_obs.sdf, mpc_imp_obs.rta\nVariable description: mpc_imp_obs.sdf\n    Platform / Device: Platform [DS1202 MicroLabBox, assigned to 'ds1202']\nControlDesk version: 7.5"
,General,Description,
,Recording,StartCondition,None (Save Measurement Buffer)
,Recording,StopCondition,None
,Measurement,XAxisOffset,0
,Measurement,Length,45.00121292
,Measurement,StartTimestamp,47.80830806
,Measurement,StopTimestamp,92.80952098
,MDF,Department,
,MDF,Project,
,MDF,MeasurementObject,

trace_size,45001
trace_types,4,4,4,4,4,4,4,4,4,4
trace_names,,turnaroundTime,In1,In1,In1,In1,In1,In1,In1,In1
trace_units,,,,,,,,,,
devices,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform,Platform
raster,HostService,HostService,HostService,HostService,HostService,HostService,HostService,HostService,HostService,HostService
description,,,,,,,,,,
displayidentifier,,,,,,,,,,
path,,Task Info/Timer Task 1,Model Root/vel,Model Root/u(t),Model Root/ref rad,Model Root/pos,Model Root/pert,Model Root/min_period,Model Root/est_vel,Model Root/est_pos
flags,,0,0,0,0,0,0,0,0,0
min,,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
max,,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
minWeak,,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity,-Infinity
maxWeak,,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity,Infinity
trace_values,0,3.36e-06,-7.6263960370788954e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.0010005877563443732,4.8400000000000002e-06,-7.4094572615126424e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.0020005755004888215,4.0799999999999999e-06,-7.1986894783935915e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.0030006432373070879,4.0799999999999999e-06,-6.9939171490349218e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.0040000309570302761,4.0400000000000003e-06,-6.7949697280844884e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.0050000587036151956,4.1200000000000004e-06,-6.6016815214855276e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.0060006464599595688,4.0799999999999999e-06,-6.4138915484777812e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.0070007141967778352,4.0400000000000003e-06,-6.2314434075241073e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.0080007419433627547,3.9999999999999998e-06,-6.0541851460509106e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.0090006896850596263,4.0799999999999999e-06,-5.8819691338939101e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.010000237414551805,4.0400000000000003e-06,-5.7146519403438376e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.011000305151370071,4.1200000000000004e-06,-5.5520942146896699e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.012000332885740761,4.0799999999999999e-06,-5.3941605701599012e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.013000120629882872,4.16e-06,-5.2407194711651959e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.014000948388670054,3.9999999999999998e-06,-5.0916431237485114e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.01500101612548832,4.0799999999999999e-06,-4.9468073691514531e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.016000203845216276,4.1200000000000004e-06,-4.8060915804082189e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.017000391589355957,3.9999999999999998e-06,-4.6693785618810054e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.018000259326171886,4.0799999999999999e-06,-4.5365544516532115e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.019001127099606663,3.9999999999999998e-06,-4.4075086266991434e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.020000514819336956,4.0799999999999999e-06,-4.2821336107512384e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.02100110257568133,4.0799999999999999e-06,-4.1603249847880782e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.022001130310059125,4.0400000000000003e-06,-4.0419813000686433e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.023001198059084516,4.0799999999999999e-06,-3.9270039936403706e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.024000905786131455,4.0799999999999999e-06,-3.8152973062506563e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.025000813525387855,4.16e-06,-3.7067682025934242e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.026001321276858391,4.1200000000000004e-06,-3.6013262938243454e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.027000508996579242,4.16e-06,-3.498883762280173e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.028000736743166499,3.9999999999999998e-06,-3.3993552883394938e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.029001364501951343,4.1200000000000004e-06,-3.3026579793639821e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.030001272241207744,3.9999999999999998e-06,-3.2087113006609751e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.031001459985354529,4.0400000000000003e-06,-3.1174370084098722e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.032001487731932343,4.0400000000000003e-06,-3.0287590844964953e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.033001515466310138,4.16e-06,-2.9426036732011355e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.03400118320312373,4.0400000000000003e-06,-2.8588990196875576e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.035001570947265748,4.16e-06,-2.7775754102417341e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.036000998669436513,4.0799999999999999e-06,-2.6985651142105341e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.037000946411133384,4.1200000000000004e-06,-2.6218023275920109e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.038000934155270727,4.0799999999999999e-06,-2.5472231182303088e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.039001001892088993,3.9600000000000002e-06,-2.4747653725695428e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
,0.040001029638673913,4.1200000000000004e-06,-2.4043687439223066e-34,0,0.17453292519943295,0.19143785219315043,0.22509765625,1756,-0.02294921875,0.19140625
