u,r2,mse,rmse,max_error
u0,0.9999485695363015,1.1176923370215675e-06,0.001057209693968783,0.03192333678370218
u1,0.9999855809627952,1.0491705078752994e-06,0.0010242902459143596,0.041442837958332035
Average,0.9999670752495484,1.0834314224484336e-06,0.0010407499699415712,0.03668308737101711
