u,r2,mse,rmse,max_error
u0,0.9999920512967196,1.7274206971463686e-07,0.00041562250867179564,0.03500366212456818
u1,0.9999929717804668,5.113934136082965e-07,0.00071511776205622,0.012298548637737383
Average,0.9999925115385933,3.420677416614667e-07,0.0005653701353640078,0.02365110538115278
