u,r2,mse,rmse,max_error
u0,0.9999911825910547,1.9162087412525726e-07,0.00043774521599357,0.02471923829644318
u1,0.9999951476386436,3.530717312348492e-07,0.0005941983938339527,0.013255450233661037
Average,0.9999931651148491,2.723463026800532e-07,0.0005159718049137613,0.01898734426505211
