u,r2,mse,rmse,max_error
u0,0.9999966425182365,7.296515273034818e-08,0.00027012062625861836,0.02265930177300568
u1,0.9999981551421352,1.3423715020027676e-07,0.0003663838836524838,0.012507769569598537
Average,0.9999973988301858,1.0360115146531246e-07,0.00031825225495555107,0.01758353567130211
