u,r2,mse,rmse,max_error
u0,0.9948373928959812,6.305995515550316e-05,0.007941029854842706,0.285318934212748
u1,0.9787066450354585,7.36800728932504e-05,0.008583709739573583,0.2591732932226491
Average,0.9867720189657199,6.837001402437678e-05,0.008262369797208145,0.2722461137176986
