u,r2,mse,rmse,max_error
u0,0.9949911073216438,6.118237187369831e-05,0.0078219161254579,0.30940782677779066
u1,0.9769298119570625,7.982833797187993e-05,0.008934670557546032,0.2620706662501533
Average,0.9859604596393532,7.050535492278912e-05,0.008378293341501966,0.285739246513972
