u,r2,mse,rmse,max_error
u0,0.9950420674568417,6.055990656197699e-05,0.007782024579887742,0.30361252766778024
u1,0.9788680531663989,7.312156236857913e-05,0.008551114685734202,0.2457017257816126
Average,0.9869550603116203,6.684073446527807e-05,0.008166569632810972,0.27465712672469644
