u,r2,mse,rmse,max_error
u0,0.9937230584069047,7.667127236279096e-05,0.008756213357541658,0.4787176525573735
u1,0.9740505012589842,8.979143784364741e-05,0.009475834414110845,0.28453703328850577
Average,0.9838867798329445,8.323135510321919e-05,0.009116023885826252,0.38162734292293965
