u,r2,mse,rmse,max_error
u0,0.9946408866167039,6.546023023151225e-05,0.008090749670550453,0.295786463509623
u1,0.9758477169736377,8.35726439954694e-05,0.00914180747967651,0.24803324066674481
Average,0.9852443017951709,7.451643711349083e-05,0.008616278575113483,0.2719098520881839
