u,r2,mse,rmse,max_error
u0,0.9951352058128946,5.94222448268078e-05,0.007708582543295998,0.286997401009623
u1,0.9790747511280964,7.240633825710783e-05,0.008509191398547092,0.2548691781667448
Average,0.9871049784704955,6.591429154195782e-05,0.008108886970921545,0.2709332895881839
