u,r2,mse,rmse,max_error
u0,0.995195551469782,5.868513771397197e-05,0.0076606225408886956,0.306772791634623
u1,0.9784729897440859,7.448857577731409e-05,0.008630676437992221,0.2545175656642158
Average,0.986834270606934,6.658685674564303e-05,0.008145649489440458,0.2806451786494194
