u,r2,mse,rmse
u0,0.9945294223478777,6.682173840984092e-05,0.008174456459596621
u1,0.9781756674032144,7.551738179612548e-05,0.008690073750902548
Average,0.986352544875546,7.11695601029832e-05,0.008432265105249585
